left_eye_bottom.x,left_eye_bottom.y,left_eye_center.x,left_eye_center.y,left_eye_left_corner.x,left_eye_left_corner.y,left_eye_lower_left_quarter.x,left_eye_lower_left_quarter.y,left_eye_lower_right_quarter.x,left_eye_lower_right_quarter.y,left_eye_right_corner.x,left_eye_right_corner.y,left_eye_top.x,left_eye_top.y,left_eye_upper_left_quarter.x,left_eye_upper_left_quarter.y,left_eye_upper_right_quarter.x,left_eye_upper_right_quarter.y,class
0.01010101,0.03030303,0,0,-0.090909091,0.01010101,-0.04040404,0.02020202,0.050505051,0.02020202,0.090909091,0.02020202,0.01010101,-0.030303031,-0.04040404,-0.02020202,0.060606061,-0.02020202,2
0,0.03,0,0,-0.09,-0.01,-0.05,0.02,0.05,0.03,0.1,0.03,0.01,-0.05,-0.05,-0.04,0.06,-0.02,7
0,0.031578948,0,0,-0.094736842,-0.010526316,-0.052631579,0.021052632,0.052631579,0.031578948,0.105263158,0.021052632,0.010526316,-0.042105263,-0.042105263,-0.031578947,0.063157895,-0.021052631,7
-0.009803921,0.029411765,0,0,-0.098039216,0,-0.058823529,0.019607844,0.049019608,0.029411765,0.098039216,0.019607844,0,-0.049019607,-0.058823529,-0.039215686,0.058823529,-0.029411764,7
0,0.034482759,0,0,-0.091954023,0,-0.057471264,0.022988506,0.045977011,0.022988506,0.103448276,0.022988506,0,-0.045977011,-0.045977012,-0.034482759,0.057471264,-0.034482759,7
0,0.028846154,0,0,-0.086538462,0,-0.048076923,0.019230769,0.048076923,0.019230769,0.096153846,0.009615385,0,-0.038461538,-0.048076923,-0.019230769,0.057692307,-0.019230769,4
0,0.030612245,0,0,-0.081632653,0,-0.051020408,0.020408163,0.040816327,0.030612245,0.081632653,0.020408163,0,-0.040816327,-0.040816326,-0.030612245,0.051020408,-0.020408163,5
0,0.02173913,0,0,-0.086956522,0,-0.043478261,0.010869565,0.054347826,0.02173913,0.097826087,0.010869565,0.010869565,-0.032608696,-0.043478261,-0.021739131,0.054347826,-0.021739131,4
-0.006993007,0.034965035,0,0,-0.097902098,-0.006993007,-0.062937063,0.013986014,0.048951049,0.034965035,0.104895105,0.020979021,0.006993007,-0.055944056,-0.055944056,-0.041958042,0.062937063,-0.027972028,7
0,0.021052631,0,0,-0.094736842,-0.010526316,-0.052631579,0.010526316,0.052631579,0.021052631,0.094736842,0.021052631,0.010526316,-0.052631579,-0.052631579,-0.042105263,0.063157894,-0.031578948,8
0,0.028169014,0,0,-0.091549296,0,-0.056338028,0.021126761,0.049295774,0.028169014,0.098591549,0.021126761,0.007042253,-0.042253521,-0.049295775,-0.035211268,0.056338028,-0.028169014,7
0,0.027272727,0,0,-0.090909091,-0.009090909,-0.045454546,0.018181818,0.054545454,0.027272727,0.1,0.018181818,0.009090909,-0.045454545,-0.045454546,-0.036363636,0.063636363,-0.027272727,8
-0.00952381,0.028571429,0,0,-0.095238096,0,-0.057142857,0.01904762,0.047619047,0.028571429,0.095238095,0.01904762,0,-0.047619047,-0.057142857,-0.038095238,0.057142857,-0.028571428,7
0,0.033333333,0,0,-0.1,-0.011111111,-0.055555556,0.022222222,0.055555555,0.033333333,0.1,0.022222222,0,-0.033333333,-0.055555556,-0.033333333,0.055555555,-0.022222222,7
-0.010638298,0.031914894,0,0,-0.106382979,-0.010638298,-0.063829787,0.021276596,0.042553192,0.031914894,0.095744681,0.021276596,0,-0.042553191,-0.053191489,-0.042553191,0.053191489,-0.031914893,7
0,0.030927835,0,0,-0.082474227,-0.010309279,-0.051546392,0.020618556,0.051546392,0.030927835,0.092783505,0.020618556,0,-0.030927835,-0.041237114,-0.030927835,0.051546392,-0.020618557,4
-0.010989011,0.021978022,0,0,-0.087912088,-0.010989011,-0.054945055,0.010989011,0.043956044,0.021978022,0.087912088,0.010989011,0,-0.032967033,-0.054945055,-0.032967033,0.043956044,-0.021978022,5
0,0.03125,0,0,-0.09375,-0.0078125,-0.0546875,0.015625,0.0546875,0.0234375,0.1015625,0.015625,0.0078125,-0.046875,-0.046875,-0.0390625,0.0625,-0.03125,8
-0.010752688,0.021505377,0,0,-0.096774194,-0.010752688,-0.053763441,0.010752688,0.043010753,0.021505377,0.086021505,0.021505377,0,-0.043010753,-0.053763441,-0.032258064,0.053763441,-0.021505376,5
0,0.021276596,0,0,-0.095744681,-0.010638298,-0.053191489,0.010638298,0.053191489,0.021276596,0.095744681,0.010638298,0.010638298,-0.042553191,-0.053191489,-0.031914894,0.063829787,-0.031914894,8
-0.007194245,0.035971223,0,0,-0.100719425,-0.007194245,-0.064748202,0.021582733,0.050359712,0.035971223,0.100719424,0.021582733,0,-0.043165468,-0.057553957,-0.035971223,0.057553957,-0.021582734,7
-0.008403361,0.025210084,0,0,-0.100840336,-0.008403361,-0.058823529,0.016806723,0.050420168,0.025210084,0.092436975,0.008403361,0,-0.042016807,-0.050420168,-0.033613445,0.050420168,-0.025210084,7
0,0.030534352,0,0,-0.083969465,0,-0.045801526,0.022900764,0.053435115,0.022900764,0.091603054,0.015267176,0.007633588,-0.038167939,-0.045801526,-0.030534351,0.053435115,-0.022900763,4
0,0.021978022,0,0,-0.098901099,-0.010989011,-0.054945055,0.010989011,0.043956044,0.021978022,0.098901099,0.021978022,0.010989011,-0.054945055,-0.054945055,-0.043956044,0.065934066,-0.032967033,8
-0.006756757,0.033783784,0,0,-0.101351352,-0.006756757,-0.054054055,0.02027027,0.054054054,0.033783784,0.101351351,0.02027027,0,-0.040540541,-0.054054055,-0.033783784,0.06081081,-0.02027027,7
0,0.031578947,0,0,-0.084210526,0,-0.052631579,0.021052632,0.052631579,0.031578947,0.094736842,0.021052632,0,-0.042105263,-0.052631579,-0.031578947,0.063157895,-0.031578947,7
0,0.019047619,0,0,-0.085714286,0,-0.047619047,0.019047619,0.047619048,0.019047619,0.085714286,0.009523809,0,-0.038095238,-0.047619047,-0.028571429,0.047619048,-0.028571429,5
0,0.023529412,0,0,-0.094117648,-0.011764706,-0.047058824,0.011764706,0.047058823,0.011764706,0.094117647,0.011764706,0,-0.047058823,-0.047058824,-0.035294118,0.058823529,-0.023529412,8
-0.009345794,0.028037384,0,0,-0.093457944,0,-0.056074766,0.018691589,0.046728972,0.018691589,0.093457944,0.018691589,0,-0.046728972,-0.056074766,-0.037383177,0.056074766,-0.028037383,7
-0.00952381,0.028571429,0,0,-0.095238096,0,-0.057142858,0.019047619,0.047619047,0.028571429,0.095238095,0.019047619,0,-0.047619048,-0.047619048,-0.038095238,0.057142857,-0.028571429,7
0,0.03,0,0,-0.08,0,-0.05,0.02,0.04,0.03,0.09,0.02,0,-0.04,-0.05,-0.03,0.05,-0.02,5
-0.010989011,0.032967033,0,0,-0.098901099,0,-0.054945055,0.021978022,0.043956044,0.021978022,0.087912088,0.021978022,0,-0.043956044,-0.054945055,-0.032967033,0.054945055,-0.021978022,7
-0.01,0.03,0,0,-0.09,0,-0.05,0.02,0.04,0.03,0.08,0.02,0,-0.04,-0.05,-0.03,0.05,-0.02,5
-0.007352941,0.029411765,0,0,-0.095588235,-0.007352941,-0.058823529,0.014705882,0.051470588,0.022058823,0.095588235,0.014705882,0,-0.044117647,-0.051470588,-0.036764706,0.05882353,-0.022058824,7
0,0.029411765,0,0,-0.088235294,-0.009803922,-0.049019608,0.019607843,0.049019608,0.029411765,0.098039215,0.019607843,0.009803921,-0.039215686,-0.049019608,-0.029411765,0.058823529,-0.019607843,7
-0.004178273,0.027855153,0,0,-0.090529248,-0.006963788,-0.051532033,0.015320334,0.045961003,0.025069638,0.091922006,0.016713092,0.002785515,-0.038997214,-0.048746518,-0.032033426,0.055710306,-0.022284123,8
-0.004454343,0.033407572,0,0,-0.097995546,-0.002227171,-0.057906459,0.020044543,0.051224944,0.031180401,0.102449889,0.024498886,0.004454343,-0.053452116,-0.053452116,-0.040089087,0.064587973,-0.028953229,7
0,0.024539877,0,0,-0.085889571,-0.006134969,-0.049079755,0.018404908,0.049079755,0.024539877,0.09202454,0.018404908,0.006134969,-0.042944785,-0.049079755,-0.036809816,0.055214724,-0.024539877,8
